序号,品种,客户买,客户卖,交易门槛,,
1,SR701.CZC,19.34%,7.17%,3000,吨,
2,C1701.DCE,27.69%,8.67%,500,吨,
3,A1701.DCE,23.50%,10.95%,500,吨,
4,CF701.CZC,45.88%,16.70%,250,吨,
5,ZC701.CZC,34.76%,14.65%,5000,吨,
6,M1701.DCE,40.52%,10.37%,500,吨,
7,RM701.CZC,43.34%,16.77%,500,吨,
8,Y1701.DCE,28.44%,10.54%,500,吨,
9,OI701.CZC,29.76%,12.39%,500,吨,
10,P1701.DCE,32.16%,14.85%,500,吨,
11,MA701.CZC,35.22%,12.65%,500,吨,
12,PP1609.DCE,35.55%,9.44%,250,吨,
13,L1701.DCE,34.39%,13.98%,250,吨,
14,RU1701.SHF,41.83%,16.88%,500,吨,
15,AU1612.SHF,22.12%,8.82%,50000,克,
16,AL1610.SHF,23.16%,12.07%,250,吨,
17,ZN1610.SHF,30.35%,14.25%,250,吨,
18,BU1612.SHF,42.44%,15.27%,500,吨,
19,JM1701.DCE,49.02%,20.69%,3000,吨,
20,J1701.DCE,59.57%,28.08%,5000,吨,
21,RB1701.SHF,54.52%,20.20%,500,吨,
22,I1701.DCE,59.47%,26.25%,5000,吨,
23,V1609.DCE,25.08%,10.76%,250,吨,
24,JD1701.DCE,26.43%,10.04%,250,吨,
25,TA701.CZC,26.98%,10.00%,250,吨,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
